tensor_path,label,video_id
./dataset/tensors\12322799_1920_1080_60fps_frame_00000.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00001.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00002.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00003.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00004.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00005.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00006.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00007.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00008.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00009.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00010.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00011.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00012.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00013.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00014.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00015.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00016.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00017.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00018.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00019.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00020.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00021.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00022.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00023.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00024.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00025.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00026.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00027.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00028.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00029.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00030.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00031.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00032.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00033.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00034.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00035.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00036.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00037.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00038.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00039.pt,0,12322799_1920_1080_60fps
./dataset/tensors\12322799_1920_1080_60fps_frame_00040.pt,0,12322799_1920_1080_60fps
