image_path,label,video_id
./dataset/frames\12322799_1920_1080_60fps_frame_0000.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0001.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0002.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0003.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0004.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0005.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0006.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0007.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0008.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0009.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0010.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0011.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0012.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0013.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0014.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0015.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0016.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0017.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0018.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0019.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0020.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0021.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0022.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0023.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0024.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0025.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0026.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0027.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0028.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0029.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0030.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0031.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0032.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0033.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0034.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0035.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0036.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0037.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0038.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0039.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0040.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0041.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0042.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0043.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0044.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0045.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0046.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0047.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0048.png,0,12322799_1920_1080_60fps
./dataset/frames\12322799_1920_1080_60fps_frame_0049.png,0,12322799_1920_1080_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0000.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0001.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0002.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0003.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0004.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0005.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0006.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0007.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0008.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0009.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0010.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0011.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0012.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0013.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0014.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0015.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0016.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0017.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0018.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0019.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0020.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0021.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0022.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0023.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0024.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0025.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0026.png,0,12596188_3840_2160_60fps
./dataset/frames\12596188_3840_2160_60fps_frame_0027.png,0,12596188_3840_2160_60fps
